feature,importance
reservation_status,0.8180165220395998
reservation_status_date,0.022890911277807752
lead_time,0.021316766835154575
market_segment,0.015323993905335684
country,0.014735392012096737
total_of_special_requests,0.011775551839638429
required_car_parking_spaces,0.010586941712656665
agent,0.010027303655361705
deposit_type,0.009809390095146938
adr,0.008896934734460925
arrival_date_week_number,0.0059140609706929675
distribution_channel,0.005053498587152468
previous_cancellations,0.004906995227539495
total_stay,0.004374602612464413
arrival_date_year,0.004324945862594138
customer_type,0.003667480056408047
arrival_date_day_of_month,0.0035027954580434846
booking_changes,0.003282368542184861
stays_in_week_nights,0.0032163422831803087
arrival_date_month,0.0026740685732412678
assigned_room_type,0.00217534466134897
previous_bookings_not_canceled,0.001659359525415018
stays_in_weekend_nights,0.0015855626086371702
booking_season,0.0014715647860469316
total_guests,0.0013451454944761547
reserved_room_type,0.0013365753625993778
hotel,0.0013224772102930489
adults,0.0011280058918412595
meal,0.0010152770252866647
company,0.0008443073016230105
is_repeated_guest,0.0006819147720532479
children,0.0005343309778959154
is_family,0.0003771786936267628
days_in_waiting_list,0.00013883937337329396
babies,8.725003472255731e-05
